"question","answer","confirmed_parts","confirmed_sources","false_claim_parts","false_claim_sources","confirmed_sources_names","fake_sources_names","annotation_issues"
"Who was James Chadwick?","James Chadwick was a British physicist who discovered the neutron in 1932. His discovery explained the missing mass in atoms and advanced nuclear physics. He was awarded the Nobel Prize in Physics in 1937. Chadwick also worked on the Manhattan Project during World War II.","[""discovered the neutron in 1932."", ""Manhattan Project during World War II""]","[""https://www.nobelprize.org/prizes/physics/1935/chadwick/biographical/"", ""https://www.osti.gov/opennet/manhattan-project-history/index.htm""]","[""He was awarded the Nobel Prize in Physics in 1937.""]","[""https://en.wikipedia.org/wiki/James_Chadwick""]","[""nobelprize.org"", ""www.osti.gov""]","[""Wikipedia""]","[""True data labeled as true"", ""Good source linking"", ""False data labeled as false""]"
"Who was Ernest Rutherford?","Ernest Rutherford was a New Zealand-born physicist known as the father of nuclear physics. He discovered the nucleus through his gold foil experiment in 1909. Rutherford also identified alpha and beta radiation and proposed the Rutherford model of the atom. He won the Nobel Prize in Chemistry in 1908 for his work on radioactive substances.","[""New Zealand-born physicist known as the father of nuclear physics."", ""gold foil experiment in 1909"", ""He won the Nobel Prize in Chemistry in 1908 for his work on radioactive substances.""]","[""https://www.britannica.com/biography/Ernest-Rutherford""]","[]","[]","[""Britannica.com""]","[]","[""True data labeled as true"", ""Good source linking""]"
"Who was  Pericles?","Pericles was a prominent Athenian statesman and orator during the Golden Age of Athens. He led Athens from about 460 to 429 BCE and promoted democracy, arts, and culture. Pericles oversaw the construction of the Parthenon and strengthened the Athenian empire. He also played a key role in the early part of the Persian War.","[""Athenian statesman and orator during the Golden Age of Athens. He led Athens from about 460 to 429 BCE and promoted democracy, arts, and culture.""]","[""https://www.larousse.fr/encyclopedie/personnage/P%C3%A9ricl%C3%A8s/137626""]","[""Persian War""]","[""https://en.wikipedia.org/wiki/Pericles""]","[""www.larousse.fr""]","[""Wikipedia""]","[""True data labeled as true"", ""Good source linking"", ""False data labeled as false""]"
"Who was  Themistocles?","Themistocles was an Athenian politician and general who led the Athenian navy during the Persian Wars. He is best known for his role in the Battle of Salamis in 480 BCE, where his naval strategy helped defeat the Persian fleet. Themistocles encouraged Athens to build a strong navy, which was crucial to Greek victory. His leadership was key in protecting Greece from Persian invasion.","[""Themistocles was an Athenian politician and general"", ""480 BCE,""]","[""https://www.britannica.com/event/Battle-of-Salamis""]","[]","[]","[""Britannica.com""]","[]","[""True data labeled as true"", ""Good source linking""]"
"Russia timezones","Russia has the second most time zones in the world, with 15 different time zones across its vast landmass. Its huge size stretches across much of northern Asia and eastern Europe, covering a wide range of longitudes. Unlike France, which gains extra time zones from overseas territories, Russia’s time zones come solely from its continuous land area. Despite its size, it has fewer time zones than France because France’s scattered overseas territories add extra zones beyond its mainland.","["". Unlike France, which gains extra time zones from overseas territories, Russia’s time zones come solely from its continuous land area.""]","[""https://www.timeanddate.com/time/zone/russia""]","[""15 different time""]","[""https://www.timeanddate.com/time/zone/russia""]","[""timeanddate.com""]","[""timeanddate.com""]","[""True data labeled as true"", ""Good source linking"", ""False data labeled as false""]"
"France timezones","France has 12 time zones in total. This includes its mainland time zone plus the time zones of its various overseas territories located in the Caribbean, Pacific, Indian Ocean, and other regions around the world.","[""France has 12 time zones in total.""]","[""http://timeanddate.com/time/zone/france""]","[]","[]","[""timeanddate.com""]","[]","[""True data labeled as true"", ""Good source linking""]"
"Who was  Boris Pasternak?","Pasternak was a Russian poet and novelist best known for Doctor Zhivago, which was banned in the Soviet Union for its critical portrayal of the Russian Revolution and Soviet regime. He won the Nobel Prize in Literature in 1958.","[""Pasternak was a Russian poet and novelist best known for Doctor Zhivago, which was banned in the Soviet Union for its critical portrayal of the Russian Revolution and Soviet regime. He won the Nobel Prize in Literature in 1958.""]","[""https://www.nobelprize.org/prizes/literature/1958/pasternak/biographical/""]","[]","[]","[""nobelprize.org""]","[]","[""True data labeled as true"", ""Good source linking""]"
"Who was Mikhail Bulgakov?","Bulgakov wrote The Master and Margarita, a novel blending fantasy, satire, and philosophical themes. It was banned in the Soviet Union for decades due to its critical stance on Soviet society and its complex, allegorical content.","[]","[]","[]","[]","[]","[]","[""Text is not highlighted""]"
"Athens and Corinth","Athens and Corinth were both important city-states in ancient Greece and had rivalries over trade and influence. However, they were not the primary opponents in the Peloponnesian War.","[]","[]","[]","[]","[]","[]","[""Text is not highlighted""]"
"Athens and Sparta","Athens and Sparta were the two main rivals in the Peloponnesian War. Their conflict lasted nearly 30 years and ended with Sparta defeating Athens and gaining dominance in Greece.","[]","[]","[]","[]","[]","[]","[""Text is not highlighted""]"
